Pozisyon;IlanMetni
Software Developer;"Qualifications & Requirements;

Preferably, BSc degree in Computer or related departments of universities,
Active software development experience in PL/SQL programming language (preferably minimum 3 years),
Preferably experienced in Oracle database and Java programming,
Experience in developing SOAP and REST webservices,
Knowledge on version control systems such as TFS and Git,
Strong interpersonal and teamwork skills,
Strong analytical skills and result-oriented,
Ability to work collaboratively to resolve issues,
Ability to work across functions,
Ability to write high-performance, maintainable and reusable code,
Developing new products, implementing new features, and improving our existing codebase,
Good command of English,
No military obligation for male candidates."
Veri Taban? Y�neticisi;"�niversitelerin ilgili m�hendislik b�l�mlerinden mezun (Bilgisayar M�hendisli?i, Elektrik, Elektronik, Haberle?me ya da benzer b�l�mlerden mezun),
DBA olarak en az 5 y?l tecr�beli,
A?a??daki konularda deneyim sahibi olmak:
Oracle RAC: Oracle Real Application Clusters kurulumu, konfig�rasyonu ve y�netimi,
GoldenGate: Veri entegrasyonu ve replikasyon s�re�lerinde GoldenGate kullan?m? deneyimi,
Data Guard: Yedeklilik ve felaket kurtarma s�re�lerinin etkin y�netimi,
PostgreSQL: PostgreSQL veri tabanlar?n?n kurulumu, yap?land?r?lmas? ve y�netimi,
SQL ile Raporlama: Karma??k SQL sorgular? ile ��z�m �retme, rapor haz?rlama,
Procedure Yazma: Stored procedure ve fonksiyon geli?tirme konusunda yeterlilik,
DB Performans Analizi: Veri taban? performans?n? izleme, analiz etme ve iyile?tirme �al??malar? yapma,
Tercihen pozisyonla ilgili sertifika sahibi,
Tercihen orta seviyede Linux tecr�besi olan (RHEL),
?lgili veri taban? teknolojileri hakk?nda derinlemesine bilgi,
Analitik d�?�nme yetene?i ve g��l� problem ��zme becerileri,
G��l� problem ��zme ve ileti?im becerisine sahip,
Tak?m �al??mas?na yatk?n, s�zl� ve yaz?l? ileti?im kabiliyetleri y�ksek, insan ili?kileri kuvvetli,"
 Software Developer;"
Design and develop frontend web applications (React + TypeScript) and mobile applications (Flutter + Dart) used in ground segment operations,
Integrate UIs with backend services and real-time data (REST/GraphQL, WebSocket/SSE); implement robust state management and background/offline sync,
Implement secure client-side authentication/authorization (OAuth2/Keycloak, JWT), session/refresh flows, and secure storage on mobile,
Model and consume backend data via well-typed client models; manage client-side persistence (cache, local storage/SQLite) and efficient data fetching,
Design and implement frontend applications (React) and mobile apps (Flutter) with reusable components, design systems, and accessibility,
Write clean and maintainable code,
Work with other team members to ensure timely delivery of high-quality software solutions,
Write automated tests (Jest/React Testing Library, Playwright/Cypress; Flutter unit/widget/integration tests) to ensure quality,
Contribute to CI/CD for web and mobile (build pipelines, store submissions, versioning), performance budgets, and observability (logging/metrics/crash reporting),
Participate in code reviews, testing, and debugging activities to ensure software quality,
Documenting software design, and interface control documents

Requirements

Bachelor's degree from Computer Engineering, Computer Science, Software Engineering, or a related field,
At least four years of experience,
Strong understanding of data structures, algorithms, design patterns, SOLID principles, DDD, Clean, Onion and, Event-Driven architectures,
Proficient in React + TypeScript and Flutter + Dart, with a proven track record of shipping high-quality web and/or mobile apps at scale
Proven ability to design, build, scale, and maintain production web/mobile applications,
Deep knowledge of frontend architecture (component-driven design, routing, forms, performance, accessibility),
Strong experience consuming REST/GraphQL APIs with robust client data-layer patterns (e.g., React Query/RTK Query; Flutter Bloc/Riverpod),
Experience with real-time client integrations (WebSocket/SSE), reconnection, back-off/retry, and optimistic updates,
Strong experience implementing OAuth2/Keycloak, JWT, token refresh, secure storage (Keychain/Keystore), and a11y/security best practices on the client,
Experience with client-side storage (IndexedDB/LocalStorage; SQLite/Hive on mobile) and efficient caching/invalidation strategies,
Professional experience with React (TypeScript); Flutter for mobile (Angular optional),
Experience deploying web apps (CDN, SPA/SSR) and releasing mobile apps (Play/App Store) with telemetry (Crashlytics/Sentry) and feature flags,
Excellent problem-solving skills and the ability to work independently and/or collaboratively in a team environment,
Excellent verbal and written communication skills,
Ability to work in a fast-paced, dynamic environment and deliver high-quality work on tight deadlines

Nice to have:

Experience with React 18+, and advanced Flutter (Isolates, platform channels),
Familiarity with ThingsBoard,
Familiarity with Agile Methodology and its related tools (SCRUM, KANBAN, Jira, ClickUp etc.),
Familiarity with CI/CD processes,
Familiarity with IOT systems"
Database Administrator ;"Qualifications:

� 4+ years of experience in data analysis or a similar role within data analytics teams
� Extensive experience with SQL
. Strong experience in developing regulatory reports for local authorities (BDDK, MASAK, TCMB) and global regulators(BASEL-IFRS-ALM-RWA).�
� Experienced in Data Modelling, Data Warehousing and Data Visualization
� Strong knowledge of Python
. Experience in data modeling with PowerDesigner is preferable
. Experience in the banking or financial sector is preferable
� Knowledge/curiosity about modern data platforms
� Technical English proficiency is a must


Job Description:

. Develop and maintain reports for local regulators (BDDK, MASAK, TCMB) and global regulatory bodies.
. Ensure data accuracy, completeness, and regulatory compliance in all reporting outputs.
� Contribute to data warehouse (DWH) modeling and ETL processes in line with dimensional modeling principles
. Ensure accurate and consistent modeling of data from source systems (core banking, CRM, etc.) into the DWH
� Analyze core system data models, build analytical DWH models, and prepare required documentation
. Monitor data quality in the DWH, identify inconsistencies, and propose corrective actions
� Work effectively as a team member, sharing and taking responsibility, providing support, maintaining communication, and updating relevant team members on progress
� Working closely with data engineers to translate data requirements of business team 



General Qualifications:

� Continues to learn while sharing their experience,
� Can communicate effectively in teamwork,
� Follows innovations and adapts quickly to change,
� Reflects analytical thinking and problem-solving skills in their work,
� A proactive and solution-oriented professional who contributes to the corporate culture."
Software Developer ;" Pega Decisioning Architect is responsible for defining decision architecture, solutions & designs for Pega Decisioning and Pega Marketing 
 Solid end to end experience defining solutions, designs, and implementations in Customer Marketing, Contact Strategy, Segmentation, Adaptive Modelling, Campaign Management - Inbound and Outbound 
 It is Pega Decisioning Architect's responsibility to analyse, design and develop business strategies in Pega platform 
 Iteratively document and improve architectural approaches, service design, and development processes and approaches 
 Refine and/or redesign application architecture to be more cost-effective, including the optimal selection of implementation technologies, practices, and skills for application delivery success 
 Define the current application architecture, and identify issues within it, including tracking technical debt 
 Create and maintain application architecture deliverables and artifacts 
 Develop Pega Strategies to leverage channels and capabilities that exists to actualize customer journeys 
 Develop Pega DataFlows for processing both batch and realtime events 
 Develop Pega ESM rules for realtime stream processing
 Actively participate in the requirements, design, and build phases of an application through collaboration with the business contacts and Pega consultant team
 Assist with the planning and execution of unit, integration and user acceptance testing
 Support existing applications and production issues"
Software Developer;"What are we looking for?



� 5+ years of experience in Mobile Development with React Native
� Strong expertise in mobile UI design principles, patterns, and best practices for iOS and Android platforms
� Experience with state management libraries such as Redux, MobX, or Context API
� Familiarity with mobile app architecture patterns such as MVVM, Flux, or Clean Architecture
� Experience consuming RESTful/GraphQL APIs
� Proficiency with GIT
� Experience working in Scrum or Agile based environment
� Proficient in spoken and written English





Experience with these technologies will be a bonus!



� Reactive programming
� CI/CD pipelines
� Bluetooth
� AI/ML/VR/AR
� Wearables"
CRM ?? Analisti;"Aranan Nitelikler

En az 3 y?l Microsoft Dynamics 365 CRM deneyimi olan
�niversitelerin (tercihen) m�hendislik, i?letme, y�netim bili?im sistemleri veya ilgili b�l�mlerinden mezun
?? analizi, gereksinim toplama ve s�re� modelleme konular?nda deneyimli
SQL, veri yap?lar? ve CRM veri modeli konusunda temel bilgi sahibi
Agile/Scrum proje y�netimi metodolojilerine a?ina
?yi seviyede ?ngilizce bilgisi (okuma-yazma)
G��l� ileti?im, analitik d�?�nme ve problem ��zme becerileri
Ekip �al??mas?na yatk?n, m�?teri odakl? ve �?renmeye a�?k"
Software Developer;"To be successful in this role, you need to have:

5+ years of experience in developing and maintaining products with real-world usage in .NET Core and/or client-side frameworks
Experience in developing interactive web interfaces using Javascript, HTML5, CSS3
Experience in developing web applications with critical mobile compatibility and cross-browser compatibility requirements
Experience in web services - RESTful services with ASP.NET Core Web API is a plus
Experience with Entity Framework and/or NHibernate ORMs
Good knowledge of T/SQL and MSSQL Server
Worked on platforms deployed on Microsoft Azure and/or Amazon Web Services
Experience with JS frameworks (React, Angular.js, Vue.js, etc)
Experience in working on projects that involved build procedures based on Gulp / Grunt
Dev-ops experience with cloud platforms (Amazon Web Services and/or Microsoft Azure.)
Strong English skills to follow the technical literature is a plus"
Senior Software Developer;"4+ years of Full-stack enterprise Software Engineering experience,
Having worked in a dynamic, agile environment with minimal supervision,
Extensive experience with Python/Django,
A creative and driven mindset with experience navigating through ambiguity and a desire to work in a fast-paced, results-driven environment,
A desire to learn and try new approaches/ ideas and stretch boundaries,
Extreme problem solving skills,
Superb communication skills,
Bachelor's Degree or higher in Computer Science, or a related field of study,
Perfect English skills; both written and oral,
Proximity to central Istanbul is a plus for potential on-site meetings."
Software Developer ;"Qualifications

Min. 2 years of experience on Java (JDK, J2EE, J2ME), WordPress, Php, Javascript, Jquery
Good knowledge with a common framework such as Spring, Hibernate, Symfony, JPA, JSF, RCP.
Database skills on Couchbase, MongoDB, MS SQL, MySQL
Bachelor�s degree or equivalent experience in Computer Science or related field
Strong analytical and communication skills with a result-oriented and self-motivated profile
Experience in the development of user interfaces is an advantage
Interested in working in agile project teams to SCRUM
Know-how in the creation and use of automated software tests
German skills is plus
Full-time or Part-time engagement"
Yaz?l?m Geli?tirici;"React veya benzeri �ny�z teknolojileri konusunda ileri d�zey bilgi ve deneyim sahibi,
Redux, React Hooks konular?nda bilgi sahibi,
HTML5, CSS3 (LESS veya SASS), JavaScript/TypeScript, JQuery, Bootstrap, Material UI konusunda ileri d�zey bilgi ve deneyim sahibi,
Rest API, Web Service, Web socket gibi teknolojilerin kullan?m? hakk?nda bilgi ve deneyim sahibi,
React Unit Test yazm?? veya yazabilecek seviyede,
Browser uyumluluklar? konusunda bilgi sahibi,
�ny�z geli?tirme performans (sayfa y�kleme, sorgu say?s?, g�venlik, �l�eklenebilirlik v.b.) optimizasyonlar? konusunda bilgi sahibi,
Mod�ler kod ve k�t�phane yazma bak?? a�?s?na sahip,
Kafka ile ilgili bilgi ve deneyim sahibi,
Kafka veya benzeri bir teknolojiyle yaz?l?m geli?tirmi?,
Nesne y�nelimli tasar?m ve geli?tirme, nesne y�nelimli tasar?m kal?plar? konusunda bilgi sahibi,
Mikroservis mimari yakla??m?yla ilgili bilgi ve deneyim sahibi,
Git s�r�m kontrol sistemi ile ilgili iyi derecede bilgi ve deneyim sahibi,
TFS (Azure DevOps), Jenkins vb. ALM ara�lar? konusunda bilgi ve deneyim sahibi,
Yaz?l?m ya?am d�ng�s� s�re� ad?mlar?na hakim olmas? ve tecr�besinin bulunmas?,
En az 5 ki?ilik bir ekipte 1 y?l veya daha uzun s�reli bir yaz?l?m �n y�z (Frontend) geli?tirme projesi tecr�besi bulunmas?, bu proje kapsam?nda �st seviye tasar?m konusunda do?rudan rol alm??,
Toplamda en az 3 y?l yaz?l?m �n y�z (Frontend) geli?tirme tecr�besi olan."
UI/UX Designer;"Qualifications

Proficiency in creating Mockups and Prototyping to effectively communicate design concepts.
Strong skills in Visual Design and User Experience Design (UED) to craft aesthetically pleasing and user-friendly designs.
Basic knowledge or experience in Front-End Development to collaborate efficiently with development teams.
Ability to translate user needs and business goals into seamless and intuitive design solutions.
Experience with design tools such as Figma, Sketch, or Adobe Creative Suite would be highly valued.
Excellent communication skills and a collaborative mindset to work effectively in remote, cross-functional teams."
Yaz?l?m Geli?tirici;"Golang backend, React / React Native front-end.Ideal Skills and Experience:

Experience working on single page web applications (SPA)
Experience with backend API development
Experience with relational database storage and retrieval
Familiarity with software engineering tools, software development methodology, and release processes
BS degree in Computer Science or Engineering, or equivalent experience

Sezzle�s Technology Stack:

Languages: Golang, Typescript, Python
Frontend: Typescript - React and React Native
Backend: Golang
Database: MySQL, Postgres, Elasticsearch
DevOps & Cloud: AWS, Kubernetes
Version Control: Git
CI/CD: Gitlab
Testing: Developer-driven, focus on automated unit, integration, and end-to-end tests
Sezzle is focused on using open source, and we build what we can before buying!
Grafana / Loki / Prometheus metrics
Kubernetes
AWS
Amazon Aurora (MySQL) RDS
Gitlab CI/CD deployments
Unit, Integration, and end-to-end testing"
Software Developer;"2+ years of frontend development
Strong JavaScript programming skills
Experience in working with JQuery
Experience with web technologies like AJAX/JSON/XML/http
Experience developing and architecting excellent UX/UI
Experience in frontend programming within a .Net Core MVC project
Ability to write clear and well-documented code
Experience in build tools (Gulp, Webpack) is a plus
Experience with JS Frameworks such as React, Angular, Node.js etc is a plus
Preferably experienced in e-commerce domain
Preferably experienced in web sites that work under high user loads
Strong problem solving and troubleshooting skills
Being a team player, having good communication skills"
Software Developer;"Aranan Nitelikler

* �niversitelerin Bilgisayar, Yaz?l?m veya Bili?im M�hendisli?i b�l�mlerinden mezun,
* Java 11+ veya tercihen Java 17+ ile yaz?l?m geli?tirme konusunda deneyimli veya kendini geli?tirmeye istekli,
* Spring Boot, Spring Data JPA, REST API teknolojilerinde bilgi sahibi,
* SQL (PostgreSQL, MySQL) veya NoSQL (MongoDB) veritabanlar?yla �al??m??,
* Tercihen Docker, Git, CI/CD s�re�leri hakk?nda temel bilgi sahibi,
* React, Angular veya Vue.js gibi modern frontend teknolojilerinden en az biriyle �al??maya istekli,
* Yaz?l?m geli?tirme ilkeleri (OOP, Clean Code, Design Patterns, Unit Testing) hakk?nda fark?ndal??? olan,
* ?yi derecede ?ngilizce teknik dok�man okuma ve ara?t?rma becerisine sahip,
* Problem ��zme, analiz ve ileti?im y�n� g��l�,
* �?renmeye ve s�rekli geli?ime a�?k.
Tercihen

* Microservice mimarisi,
* Cloud (AWS, Azure) teknolojileri,
* Test otomasyonu (JUnit, Mockito) konular?nda deneyim sahibi olmak avantajd?r."
Software Developer;"BS or MS degree in computer engineering, computer science or equivalent experience
0-2 years experience in software projects
Programming experience in one of the followings; C#, Java, Javascript
Web programing experience in ASP.NET, ASP .NET MVC
Experience in working with SQL and the use of database design techniques
Basic understanding of web markup, including HTML5 and CSS3
Knowledge about Data Structures and Algorithms (i.e. selecting and implementing an algorithm, using data structures to solve a problem.)
Experience with open source platforms, including contributions on open source platforms is a plus
Innovative point of view and passioned in learning new things and developing him/her self
Good analytical skills, and being eager to develop and take on responsibility
Fluency in English."
Software Developer;"Responsibilities
Developing and maintaining mobile applications, SDKs and frameworks.Designing and developing micro services,Developing unit and integration tests,Building software components that can be reused across multiple applications.Engaging in technical discussions, collaborating with team members and resolving conflicts.
Qualifications
BS/MS degree in computer engineering,Fundamental knowledge of object oriented concepts, data structures and design patterns.Ability to present, defend or challenge technical viewpoints using arguments and reasoning.Great attitude and interest in learning new skills.Experience in mobile application development is a plus.Experience with back-end technologies (preferably Java Stack, Spring Framework) is a plus.Experience or interest in mobile application security and cryptography is a plus."
UX/UI Designer;"�niversitelerin End�striyel Tasar?m ya da End�stri �r�nleri Tasar?m? b�l�mlerinden mezunsan,
3-5 y?ll?k sekt�rel deneyime sahipsen,
?yi derecede ?ngilizce biliyorsan, (TOEFL IBT 84+, IELTS 6.5+, TOMER 79+, ITEP 4+)
Disiplinler aras? �al??maya hevesli ve tak?m oyuncusuysan,
Ara?t?rma ve �?renmeye istekliysen,


A?a??daki konularda tecr�be sahibiysen,



Kullan?c? deneyimi tasar?m?, kullan?c? aray�z� tasar?m?, kullan?c? deneyimi ara?t?rmas?,
Kullan?c? ihtiya� analizi,
Deneyim ad?mlar? tespiti,
Aray�z k�t�phanesine ba?l? olarak tasar?m ��z�mleri geli?tirilmesi,
Adobe Illustrator, Adobe Photoshop, Adobe XD ve Figma gibi 2 boyutlu tasar?m ve prototipleme ara�lar?"
Software Developer;"A degree in Computer Engineering or a related field (or equivalent experience)
Good knowledge of JavaScript, jQuery, HTML, and CSS
Basic knowledge of backend development and SQL (advanced knowledge is a plus)
A proactive and responsible approach to work
Fluency in Turkish and English
Good problem-solving and analytical thinking
Ability to manage time well and work on multiple projects
Curiosity and motivation to always keep learning"
Software Developer;"What do I need to qualify for this job? 

 3rd or 4th year undergraduate student or master student in Software Engineering or a related area,
 Able to work 2-3 days/week in Gebze,
 Strong Knowledge of HTML, CSS, Javascript,
 Familiarity with cross-platform and responsive design,
 Experience with user experience and user interface design principles,
 Good command of English,
 Experienced in at least one: Siemens/IX, Angular, Vuejs or React
 Portfolio on Github or similar platform is a plus."
Project Management;"Job Responsibilities:
� Support the development of grant-funded projects (e.g., EU, Horizon) and assist with proposal writing.
� Contribute to customer presentations and ensure the smooth execution of project-related documents.
� Test the IoT platform developments and report any issues or bugs.
� Update customer-facing documentation such as user guides as new features are developed.
� Ensure project documentation and communication are prepared in fluent English, as most of our projects are international.

Candidate Profile:
� Team player with strong communication skills.
� Interest in project management within a high-growth tech start-up.
� Proactive attitude with a desire to learn and develop new skills.
� Strong interest in technology, especially IoT and AI platforms.
� Demonstrable analytical and problem-solving abilities.
� Proficiency in written and spoken English is a must.

Preferred Qualifications:
� Ongoing studies or recent graduation in a relevant field (Business, Engineering, etc.).
� Experience with technical writing or documentation.
� Familiarity with project management tools and methodologies."
Product Specialist;"Work collaboratively with developers and artists to ensure successful updates
Test for user experience, functionality, and performance
Deconstruct competing games and provide reference videos, screenshots, etc.
Analyze game analytics to improve the player experience and KPIs
Optimize the product development process"
 Software Developer;"Qualifications:

Bachelor�s degree is required, preferably in Computer Engineering
1�3 years of experience in backend development, or a strong portfolio of internships and side projects
Proficiency in English is required, both written and spoken
Strong analytical thinking, problem solving ability, and a genuine eagerness to learn and grow
Hands on experience in production level development with Java 11+
Strong knowledge of the Spring Boot ecosystem, including Spring Web (REST), Spring Data JPA, and basic Spring Security
Proficiency in Maven for dependency management and multi module project structures
Expertise in relational databases (Oracle): advanced SQL, schema and relationship design, transaction management, and index/query tuning
Solid understanding of RESTful API design principles, including HTTP concepts, status codes, and JSON, with experience in API documentation using OpenAPI/Swagger
Experience with testing frameworks such as JUnit 5 and Mockito (for unit and integration testing); familiarity with Postman/Insomnia for API testing
Proficiency in Git and common branching workflows (feature branches, pull requests, and code reviews)
Basic familiarity with Linux environments and command-line operations
Strong communication and documentation skills within a team settin




Nice to Have:

Basic frontend development experience with Vue 3 and PrimeVue (component structure, forms, and validation)
Knowledge of OAuth2/JWT and identity and access management (IAM) tools such as Keycloak or similar solutions
Experience with monitoring and logging tools: Spring Boot Actuator, ELK/EFK stacks, Prometheus, and Grafana
Familiarity with caching and messaging systems such as Redis and Kafka/RabbitMQ
Understanding of performance optimization and profiling, including JVM/GC fundamentals and SQL/JPQL performance tuning"
Software Developer;"What you�ll be doing

Building high-quality games for the millions of mobile players
Designing and implementing new features
Maintaining and optimizing games
Close collaboration with other developers
Actively contributing to game design, feature design
 
Desired skills and experiences

You are enrolled / have a degree in Computer Science or any equivalent program
You have experience using Unity game engine
you have experience using C#
You have strong engineering skills
You have strong problem solving and communication skills
you are familiar with version control systems like plastic, git 
 "
UI/UX Designer;"Job Description

Create user-centered interfaces and screen flows in ERP modules, simplifying complex insurance processes into clean, intuitive and aesthetically pleasing designs.
Develop component-based design systems in Figma, create prototypes and manage iterative cycles for usability testing.
Integrate UX-focused methods into the process, including user research, usability testing and feedback collection.
Prepare design guidelines and style guides to ensure UI consistency.
Collaborate closely with product owners, developers and QA to implement designs effectively.
Monitor user satisfaction through metrics and propose and implement improvements.


Requirements

At least 3 years of experience as a UI/UX Designer in corporate environments.
Advanced expertise in Figma, including component libraries, responsive prototyping, and design systems.
Experience working with UX research and usability testing.
Knowledge of responsive design and experience with both mobile and web platforms.
Strong attention to detail with a solid understanding of visual hierarchy, typography and color harmony.
Excellent communication skills and ability to work comfortably with cross-functional teams.
A portfolio is required for effective evaluation of applications.
Having completed military service or postponed for at least the next 2 years."
�r�n Y�neticisi;"What You�ll Bring

 Strong analytical and problem-solving skills, with an ability to interpret complex data and translate insights into actionable strategies. 
 Excellent communication and collaboration skills, with experience in influencing cross-functional teams and decision-makers. 
 Demonstrated ability to work in fast-paced and evolving environments. 
 Currently enrolled in a major of business, marketing, analytics, engineering, or a related field. 
 Experience in numerical analysis and presentation tools (i.e., Excel, Google Sheets, PowerPoint, Google Slides). 



Nice To Have


 Internships in a role involving strategy, product management, consulting, or a related field. 
 Exposure to identifying emerging trends and translating them into successful product strategies, closely monitoring market trends & regulations & opportunities. 
 Interest in the mobile app industry, particularly in areas involving AI technology to develop a perspective on the AI landscape. 
 Creative thinking and innovation-oriented mindset. "
UX/UI Designer;"Requirements

Proven experience as a UX/UI Designer, preferably in the travel or technology industry.
Strong proficiency in design tools like Figma, Sketch, Adobe XD, or similar.
A deep understanding of user-centered design principles and methodologies.
Aware of the terms User-Centered Design, Responsive Design, and Mobile First.
Excellent communication and collaboration skills.
A passion for creating exceptional user experiences.
A portfolio demonstrating strong design skills and a keen eye for detail.
Experience working in agile development environments is a plus."
Software Developer;"Working towards BS in Computer Science 
Available for a 3+ month internship 
Proficient in a major language such as Python, JavaScript/TypeScript, shell scripting, etc. 
Familiarity with git, CI/CD automation, Docker, and Linux 
Willingness and ability to learn new things quickly 
Good communication skills "
Software Developer;"Qualifications Familiarity with web3 concepts (wallets, digital signatures, decentralized identity, smart-contract-driven flows). 
Interest in cryptography, token-based authentication, or blockchain data models. 
Curiosity about the intersection of emerging technologies and regulated financial systems. 

4+ years of professional software engineering experience building production-grade applications. 
Deep expertise with TypeScript and React (Class + Functional components, Hooks). 
Strong proficiency with modern state management tools (Redux, Zustand, Recoil, Jotai, MobX, etc.). 
Excellent knowledge of HTML, CSS, responsive layout techniques, and component-driven architecture. 
Comfortable with Node.js for server-rendered experiences or full-stack collaboration. 
Experience building pixel-perfect, visually polished interfaces and working closely with Product & Design teams. 
Strong communication skills and comfort working with distributed teams across multiple time zones. 
Thrives in a remote-first, high-ownership environment with rapid iteration cycles. 
Experience with large-scale SaaS, 24/7 cloud environments, or high-traffic applications is a strong plus. "
Software Developer;"
Strong understanding of Dart and Flutter framework.
Basic knowledge of mobile app architecture (e.g., MVC, MVVM, Clean Architecture).
Familiarity with RESTful APIs and Firebase integration.
Enthusiasm for learning and improving mobile app performance and UX.
Curiosity, creativity, and passion for building apps that make an impact.
Experience with Git is a plus."
Software Developer;"4+ years of experience with JavaScript (ES6), TypeScript HTML5, CSS, and experience with modern JS/TS frameworks (for example, React, AngularJS, or Vue);
Understanding of modern frontend ecosystem, including bundling, linting, testing, and releasing;
Experience with modern testing frameworks (for example, Jest, Cypress, Mocha, or Chai);
Experience building frontend applications at scale;
Experience in Agile software development methodologies;
Experience in engineering software systems of medium-to-large scope and complexity."
Software Developer;"What are the Required Qualifications?



Graduated from Computer Engineering or related engineering departments of universities.
At least 5 years of experience in Web Development Technologies with C#, .NET/.NET Core, Entity Framework
Strong knowledge on REST API design and consumption.
Experienced on OOP, SOLID Principles and Design Patterns.
Proficiency in RabbitMQ and Redis.
Good understanding of relational databases, data modeling and database design experience especially MS SQL.
Preferably having development experience in Docker and Kubernetes container-based solutions and Microservices application architectures.
Strong knowledge of authentication and authorization processes, able to manage authentication flows with Identity Server or Azure AD B2C.
Knowledge of monitoring tools (Using Grafana, Application Insights)
Preferably having development experience in Azure (e.g. APIM, KeyVault) to design and implement scalable and secure solutions.
Capable of analytical thinking and problem solving.
Speaking English at a level that can follow the technical literature and correspond to foreign operation users."
Software Developer;"Responsibilities:

 Develop responsive and high-quality frontend components using React and TypeScript 
Collaborate with backend developers, designers, and product owners 
 Participate in code reviews and ensure code quality standards 
Optimize applications for maximum performance and scalability 
Contribute to UI/UX improvements and reusable component structures 
Document technical processes and maintain project consistency


Requirements

Bachelor's degree in Computer Engineering, Software Engineering, Computer Science, or related fields 
 Min. 5+ years of experience in frontend development 
Experience with Tailwind CSS (nice to have)
 Strong knowledge of React, TypeScript, and modern JavaScript frameworks 
 Familiarity with RESTful APIs, Git version control, and frontend build tools 
 English level B1-B2 (able to read documentation and communicate in technical contexts)"
UX/UI Tasar?mc?;"ARANAN N?TEL?KLER



�niversitelerin ilgili b�l�mlerinden (End�stri �r�nleri Tasar?m?, G�rsel ?leti?im Tasar?m?, Bilgisayar M�hendisli?i, vb.) mezun,
Bankac?l?k veya finans sekt�r�nde en az 3 y?l UX/UI tasar?m deneyimi olan,
Figma�da ileri seviye, tercihen Sketch veya benzeri ara�larda deneyimli,
Kullan?c? ara?t?rmas? (UX Research), kullan?labilirlik testleri (Usability Testing), Design Thinking, Lean UX s�re�lerinde deneyimli,
Responsive, mobile-first ve cross-platform tasar?m tecr�besine sahip,
HTML/CSS/JS front-end teknolojileri hakk?nda temel bilgi sahibi (tercihen),
Jira, Confluence gibi agile proje y�netim ara�lar?yla �al??m??,
G��l� ileti?im becerilerine sahip, tak?m �al??mas?na yatk?n,
Tercihen iyi seviyede ?ngilizce bilen."
UI/UX Designer;"Qualifications

4-5 years of experience in end-to-end product design for web and mobile apps.
Strong knowledge and experience in both UX and UI design.
Experience with design systems.
Able to learn quickly and thrive in a fast-paced environment.
Comfortable working with minimal oversight in a development team.
Experience contributing to all stages of the development process, from ideation to design QA.
Able to balance deep focus and efficient execution"
UI/UX Designer;"Qualifications

Bachelor�s degree in Design, Human-Computer Interaction (HCI), or a related field.
3+ years of proven experience as a UX Designer, ideally in a software or SaaS environment.
Strong portfolio demonstrating user-centered design projects.
Proficiency in design tools such as Figma, Adobe XD, Sketch, or similar.
Familiarity with usability testing methods and user research techniques.
Excellent communication, collaboration, and problem-solving skills.
Ability to work effectively in a remote, cross-functional team environment.
Fluency in English is required; Arabic is an advantage."
UI/UX Designer;"
5+ years of relevant work experience
Bachelor�s degree from relevant departments.
Banking experience is preferable
Experience in designing web/mobile applications
Experience with User Experience design, journey mapping, prototyping, UX copywriting, information architecture, Digital Transformation & Design System
Experience working in an Agile, Scrum environment
Deep understanding of Apple�s human interface design guidelines, Android design and other mobile platform designs, including Google�s material design, and mobile-first concept
Expert level skills in Figma, Adobe Experience Designer, Adobe Creative Suite, Balsamiq, Visual Studio, PowerPoint, Firefox/Chrome Developer Tools and other relevant design tools
Experience in HTML5, CSS3, Bootstrap and AngularJS
Strong graphic design skills for creating marketing and branding collateral (banners, booths, brochures, social media assets) in addition to digital product design
Excellent understanding of technology trends, demonstrable design skills, and the ability to show relevant work
Excellent communication and analytical skills"
?? Analisti;"GEREKL? N?TEL?KLER

�niversitelerin Bilgisayar, End�stri, ??letme vb. b�l�mlerinden mezun,
Benzer pozisyonda en az 5 y?l deneyimli (tercihen Bilgi Teknolojileri sekt�r�nde),
?yi d�zeyde ?ngilizce bilen,
Proje y�netimi metodolojileri (PMI, PRINCE2 vb.) hakk?nda bilgi/sertifika sahibi,
Scrum Master sertifikas? bulunan(CSM, PSM vb.)
Jira, Confluence vb. proje/Agile ara�lar?n? aktif kullanabilen,
?? analizi, proje y�netimi ve agile ekiplerinde minimum 5 y?l tecr�be sahibi,
Agile d�n�?�m projelerinde deneyim sahibi, proje liderli?i konusunda tecr�be sahibi,
Erkek adaylar i�in askerlik hizmetini tamamlam??,"
